Име,Област (етнографска/фолклорна),Регион,Размер,С удължен дял,Темпо,Тактове,Трудност,Къде го научих,Музика,Заснето,Урок,Хореограф
Право,Тракийска,,2/4,,,,За първи път,Зала Младост,,,,
Право тракийско,Тракийска,,2/4,,,,За първи път,Зала Младост,,,,
Самоковско/Булчинско/Сватбарско,,,9/8,четвърти,,,За първи път,Зала Младост,,,,
Ширто,,,7/8,първи,,,За първи път,Зала Младост,,,,
Арап,,,2/4,,,,За първи път,Зала Младост,,,,
Гинка,,,7/8,първи,,,За първи път,Зала Младост,,,,
Ганкино,,,11/16,трети,,,За първи път,Зала Младост,,,,
Сворнато,Родопска,,9/8,четвърти,,,За първи път,Зала Младост,,,,
Шопска ръченица,,,7/8,трети,,,За първи път,Зала Младост,,,,
Ръка,,,2/4,,,,За първи път,Зала Младост,,,,
Тракийска ръченица (от интернет лесната),,,7/8,трети,,,За първи път,Зала Младост,,,,
Сборенка,,,2/4,,,,За първи път,Зала Младост,,,,
Енино/Йенино,Родопска,,2/4,,,,За първи път,Зала Младост,,,,
Дайчово,,,9/8,четвърти,,,За първи път,Зала Младост,,,,
Чичово,,,2/4,,,,За първи път,Зала Младост,,,,
Гръцко,,,2/4,,,,За първи път,Зала Младост,,,,
Дунавско,,,2/4,,,,За първи път,Зала Младост,,,,
Чукано,Родопска,,2/4,,,,Начинаещи,Читалището,,,,
Костадине,,,3/4,,,,Начинаещи,Зала Младост,,,,
Свищовско дунавско,,,2/4,,,,Начинаещи,Зала Младост,,,,
Каракачанско,,,2/4,,,,Начинаещи,Зала Младост,,,,
Четворно (без совалки),,,7/8,първи,,,Начинаещи,Зала Младост,,,,
Дуна иде,,,3/4,,,,Начинаещи,Народния,,,,
Куцата,,,7/8,трети,,,Начинаещи,Зала Младост,,,,
Селеник,,,9/8,четвърти,,,Начинаещи,Света Неделя,,,,
Айдарово (от интернет),,,9/8,четвърти,,,Начинаещи,Интернет,,,,
Каврак елено,,,9/8,четвърти,,,Начинаещи,Света Неделя,,,,
Варненско,Добруджанска,,9/8,четвърти,,,Начинаещи,Зала Младост,,,,
Пайдушко,Северняшка,,5/8,втори,умерено,,Начинаещи,Зала Младост,,,,
Старо банско,Пиринска,,7/8,първи,,,Начинаещи,Света Неделя,,https://www.youtube.com/watch?v=6z3J_VA4RAo&ab_channel=%D0%A0%D0%B0%D0%B9%D0%BD%D0%B0%D0%9A%D0%BD%D1%8F%D0%B3%D0%B8%D0%BD%D1%8F,,
Касапско,Пиринска,,4/4,,умерено,,Начинаещи,Читалището,https://www.youtube.com/watch?v=Q0fWU8DWYu8&ab_channel=BulgFolk,https://www.youtube.com/watch?v=Q0fWU8DWYu8&ab_channel=BulgFolk,,
Пущено/Пуштено/Пушчено/Буфско/Леринско,?,,?,първи и четвърти,,,Начинаещи,Света Неделя,,,,
Еленино,,,13/16,шести,,,Средно ниво,Зала Младост,,,,
Циганско,,,2/4,,,,Средно ниво,Зала Младост,,,,
Охридско,,,,,,,Средно ниво,Зала Младост,,,,
Багренска ръченица,,,,,,,Средно ниво,Зала Младост,,,,
Сеславско,,,,,,,Средно ниво,?,,,,
Како Николинке,,,,,,,Средно ниво,?,,,,
Тръгнала Дона,,,,,,,Средно ниво,?,,,,
Дойди дойди либе ле,,,,,,,Средно ниво,Света Неделя,,,,
Валино,,,,,,,Средно ниво,Хоротека,,,,
Момчилово (Момчиловско),,,,,,,Средно ниво,Света Неделя,,,,
Мелнишко,,,,,,,Средно ниво,Света Неделя,,,,
Къч бурма,,,,,,,Средно ниво,Цоко,,,,
Сатовчанско,,,,,,,Средно ниво,Зала Младост,,,,
Машала,Пиринска,,,,,,Средно ниво,Света Неделя,,https://www.youtube.com/watch?v=30uMeSIln2M&t=43s&ab_channel=%D0%97%D0%BE%D1%80%D0%BD%D0%B8%D1%86%D0%B0%D0%92%D0%B5%D0%BD%D0%BA%D0%BE%D0%B2%D0%B0,https://www.youtube.com/watch?v=xGL17XxR-3k&ab_channel=IraWeisburd,Ira Weisburd
Камбер (Айше),Пиринска,,,,,,Средно ниво,Зала Младост,,,,
Ситно влашко,,,,,,,Средно ниво,Зала Младост,,,,
Ситно шопско (Младо шопско),,,,,,,Средно ниво,Зала Младост,,,,
Селско шопско,,,,,,,Средно ниво,Зала Младост,,,,
Граовско,,,,,,,Средно ниво,Зала Младост,,,,
